transaction_id,user_id,amount,timestamp,status
926a5851-3de5-45dc-bf2c-069d35e12077,USR_3004,254.95,2026-08-08T12:21:39.146726+00:00,SUCCESS
7bab4483-19f6-40f2-9d41-8f2f1c9d0c83,,-25.0,2026-08-08T12:21:39.147604+00:00,CORRUPTED
e49894d9-f3ff-4dee-937e-3c659617bc71,USR_9153,94.15,2026-08-08T12:21:39.146695+00:00,SUCCESS
e7388824-b9f9-4791-ae4e-5758e70a7d08,USR_4371,272.02,2026-08-08T12:21:39.146782+00:00,SUCCESS
d9e8540a-efc0-41f8-a560-eb98315b333f,USR_9107,57.11,2026-08-08T12:21:39.146390+00:00,SUCCESS
bc2e5a0f-0d99-4c4a-b5ec-32100df7575a,USR_8437,356.93,2026-08-08T12:21:39.147281+00:00,SUCCESS
3afe3cfb-9e90-4935-8f94-9bc2126fb9f0,USR_6950,361.56,2026-08-08T12:21:39.146752+00:00,SUCCESS
41727023-3cc2-41ea-b550-0c852772e23a,USR_6990,93.48,2026-08-08T12:21:39.147107+00:00,SUCCESS
8be3cd9a-3da9-48dd-9b17-efb5071ebc08,,INVALID_AMOUNT,2026-08-08T12:21:39.147423+00:00,CORRUPTED
3be99de4-072f-44c6-b733-98ead3a320c4,USR_4488,484.23,2026-08-08T12:21:39.146576+00:00,SUCCESS
b2e86549-137b-4e0c-9491-9f0d3f547cab,USR_1788,323.37,2026-08-08T12:21:39.147226+00:00,SUCCESS
7cca7bcb-c933-4ef2-b9aa-f2b0c03330b5,USR_6766,73.02,2026-08-08T12:21:39.146638+00:00,SUCCESS
44a68615-9f48-4c3a-b4b1-190b1e473cd0,USR_4001,126.86,2026-08-08T12:21:39.146646+00:00,SUCCESS
,USR_5602,INVALID_AMOUNT,2026-08-08T12:21:39.147578+00:00,CORRUPTED
403809dc-96e9-4185-bc8f-fdc856582c68,USR_7359,112.23,2026-08-08T12:21:39.147374+00:00,SUCCESS
19a6a129-425a-47ad-a914-31aea0a5c680,USR_7646,467.17,2026-08-08T12:21:39.147363+00:00,SUCCESS
7e962ed3-7d42-41d9-b9de-8988ffcbf009,USR_7233,70.19,2026-08-08T12:21:39.146735+00:00,SUCCESS
c1b309df-4920-43a5-ade1-771f7c00dfda,,INVALID_AMOUNT,2026-08-08T12:21:39.147445+00:00,CORRUPTED
fdd06876-f4f3-423f-ae2b-9cc39f14ec04,USR_8108,279.59,2026-08-08T12:21:39.146435+00:00,SUCCESS
99a9f975-0261-45db-b1a6-10371aab8ca3,USR_7521,175.84,2026-08-08T12:21:39.146744+00:00,SUCCESS
7758f53f-4ca6-4c40-928c-84c901809f79,USR_6384,101.41,2026-08-08T12:21:39.146687+00:00,SUCCESS
